u_1,u_2,u_3
-0.07815983486972548,-0.10379274112175803,-0.357619728641197
-0.07968557617124374,-0.08776416786805025,-0.13872794190662183
-0.07422539825874175,0.11885500644167854,-0.3314766657543295
-0.0782519162555229,0.08526110393093184,-0.13059109527653565
0.03419501286607592,0.053858698990901725,-0.24479928976650234
0.07967129215288074,0.0780729631013513,-0.1187044013949415
-0.058745758806735625,0.056862539981343836,0.3653706971318645
-0.14586915812455198,0.16781205916366515,0.3036800327359138
-0.2707561042893512,-0.16381131261648638,-0.17653324209798868
-0.04255375172656491,-0.020179825101675108,-0.0498009474196106
-0.02903348236546247,-0.04233903821346409,-0.0678996113402688
-0.503786295350136,-0.1452933490254414,-0.20956480643800032
0.009254196102984313,0.029775294367856732,-0.03134035711696452
0.03793190103247221,0.03904088769899329,-0.027183848876438606
0.02979341008336124,0.02783785519883241,-0.02137965474503926
0.011434500591654934,0.04329461421559319,-0.039148485617760735
0.3699606347579759,-0.12498864066095944,-0.11196939205092768
0.10507570587899019,-0.03343566951564165,-0.0540805033473536
0.0948840103253363,-0.0433708789567991,-0.055486137174773124
0.43563043922134315,-0.1295339434916728,-0.1325696219031155
0.0431923424882489,-0.00222818976944699,0.005086532289070993
0.01956955989166343,0.00016905671338139514,0.046837554634370504
0.02375897379642471,-0.005692246182830779,0.0006136750350595241
0.03674337397197622,0.0026033899465512916,0.039127353441281494
-0.030861331491035784,-0.006546265141419274,-0.046697277524720686
-0.02884353281662155,-0.007080839609629,-0.030651771839692938
-0.01785110628908221,-0.007372973663139847,-0.03486023521225032
-0.06016697757633821,-0.005560683309210215,-0.042457769345805085
0.2798082689177529,-0.11725319229722957,-0.055936038336621245
0.02159449570764244,-0.005502715180563327,-0.11596443866619742
0.102120187397867,-0.03515413183033859,-0.07025563687561985
0.02318313549259922,-0.009268095805550236,-0.03820967584772431
0.021084244126584363,-0.006472125795623236,-0.06331934204034949
0.15618188717731712,-0.2901862897265844,-0.07933088961005025
0.15242462751144287,-0.13347104537224763,-0.09478077579247053
-0.0024637646693340142,-0.09198565209535102,-0.05921752029529346
-0.2522442268337294,0.25610679756120813,-0.18659357001817958
-0.07116813666235403,0.05660361470527926,-0.08316992708149162
-0.10768184843885059,0.09625520638298973,-0.12495366155590812
-0.49679505379832395,0.16823828002752858,-0.22088011539030655
-0.03185578787694439,0.02715506215171069,0.09369722857523408
-0.037804941245090214,-0.01709409781240513,0.0878115542100868
-0.04646083638774587,-0.0006199545304917487,0.031479397354746204
0.0016958192328259002,0.005360014803696504,0.23011542167125715
-0.0432255951872238,0.097763906668583,-0.04516988794973441
-0.1506186492659204,0.4389539398118589,-0.09786492523192113
-0.1471930787771472,0.4389987719510484,-0.09449734363149073
-0.07869937093872248,0.1797098382345775,-0.07020004132347434
0.014765275043752036,0.061047472650547246,-0.04424289072807335
0.17248546013740065,0.3329227829413111,-0.10134528823095898
0.08633676373938545,0.1606300323421971,-0.06719625331136095
-0.00614060193213402,0.1080734094560548,-0.0694584699550744
0.0024492541969893217,0.03816553338246743,0.0815638395646896
0.045002379645643756,0.058467498525130016,0.21893123278319446
0.015269390649060218,0.04178165866161529,0.09119775652899274
0.023599359664761035,0.027875038973446203,0.16319487845048386
-0.10579239643249946,-0.06194082403645164,0.5171488101405829
-0.021799225443099274,0.015010404352387744,0.2522767362782454
-0.03340454861902126,-0.015210496817827128,0.18359255845303846
-0.09970426248206411,-0.07605205929011025,0.4208451295707142
-0.007461504265078295,-0.04000772092269562,0.07818609045648599
-0.12773171331294403,-0.04047868995013701,0.07819336344231981
-0.08207154260194152,-0.051871283547627656,0.3816623533597074
-0.045938629472725874,-0.01404874154200698,0.02276850055127875
0.003351690664527959,-0.028582917599337773,0.12551562271064182
0.1129598168164477,-0.052065039479214495,0.34043604305623376
0.11190720734858449,-0.017866800130117585,0.2788089462555091
0.0016402005258274368,-0.027011755294714203,0.14429447855976774
0.049685042547399944,0.06961096401016663,0.06834167835291292
-0.007283957183855053,0.10976031370870887,0.021938625390504226
0.01078818785838559,0.05425852102665595,0.05020157970798729
0.07179591442429807,0.13663270400563166,0.05851366990706148
-0.028135346915172058,-0.022433969206195843,0.08229807062742292
-0.03668627475071945,-0.05447699902673013,0.1589460392647302
-0.04775896677010576,-0.039521084231058864,0.12326720045616878
-0.04026382045012549,-0.037155564213774195,0.09018011759937444
0.006099040137855631,0.018433810846842296,0.21009016431458571
0.10264163201095379,0.06294934442354902,0.3218335188315613
0.066035733282827,-0.013050660668358301,0.1757693290223622
0.021316447127183294,0.03294182249336941,0.2546285943236892
-0.05231430281560223,0.04754571031932109,0.03318117405523541
-0.05098286482011643,0.04075034988565667,0.20433352771759092
-0.029506744313675202,0.06711525108251086,0.2560099669492592
-0.14071950401685662,0.05070961527456341,0.08486011937246257
0.25448385527962913,0.0743712698656908,-0.08065744449086298
0.3566879136930763,0.22219339890460615,-0.12698667501841382
0.21840486761546252,0.052152548618669005,-0.09190257682852539
0.42762882332901336,0.16361967973930922,-0.13596921737792425
0.014691561856723705,0.03130580794046109,0.06973013538321127
-0.016284141094097537,0.031106439402912654,0.07085004924763035
0.01006967840567154,0.028835886704991907,0.06256022792765731
